title,site,url,salary,salary_min,salary_max,currency,city,responsibility,requirement,date_publication
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52201806?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,45000,65000,руб.,,"1. Помогать оператору лазерного станка - снимать готовые детали и раскладывать по наименованиям, перемещать детали на другие участки, убирать участок. 2. ",Не указаны,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52757447?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,0,1400,бел. руб.,,"Звоните, ответим на все вопросы!",Желание работать и зарабатывать.,
"Разнорабочий (улица Артельная, 2)",https://hh.ru/,https://spb.hh.ru/vacancy/52227057?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,12000,14000,грн.,,Разгрузка и погрузка металлопластиковых изделий.,Не указаны,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52394978?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,50000,0,руб.,,Соблюдать все требования. Связанные с данной работой.,Не указаны,
Разнорабочий на производство,https://hh.ru/,https://spb.hh.ru/vacancy/52472592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,35000,50000,руб.,,Не указаны,"Стремление работать, ответственность. Опыт работы не обязателен, ОБУЧАЕМ с нуля.",
Подсобный Рабочий на производство,https://hh.ru/,https://spb.hh.ru/vacancy/51994473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,45000,55000,руб.,,Погрузо-разгрузочные работы. - Слесарные работы.,"Желание работать, добросовестность. Можно без опыта. Пунктуальность. Ответственность. Собранность.",
Разнорабочий в типографию,https://hh.ru/,https://spb.hh.ru/vacancy/51721290?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,"Послепечатная обработка полиграфической продукции (биговка, фальцовка, резка, буклетирование, сборка и т.д.). Работа на ручном полиграфическом оборудовании. Выполнение широкого круга...",Аккуратность‚ ответственность‚ внимательность‚ исполнительность‚ дисциплинированность.,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52190108?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,0,руб.,,В соответствии с должностной инструкцией.,Без опыта работы.,
Подсобный рабочий/разнорабочий на пищевое производство,https://hh.ru/,https://spb.hh.ru/vacancy/52179215?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,В пищевую производственную компанию по производству фруктовых начинок требуется подсобный рабочий. Обязанности: Загрузка сырья и упаковка продукции. Уборка рабочих мест.,Не указаны,
Грузчик,https://hh.ru/,https://spb.hh.ru/vacancy/52806887?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,Погрузка изделий. — Разгрузка изделий.,Изделия лёгкие.,
